                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0231,                 4.3192,                 2.4674,                      0,                      0,                      0,                      0,                 2.3845,                 6.2962,                 1.8466,                  4e-05,                  4e-05,                  4e-05
                      2,                  2.812,                 4.1105,                 1.7923,                      0,                      0,                      0,                      0,                 1.6298,                 8.6307,                 1.6053,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                 2.8913,                  4.111,                 2.1073,                      0,                      0,                      0,                      0,                 2.6113,                 5.0817,                 1.5109,             0.00014733,             0.00014733,             0.00014733
                      4,                 2.7401,                 4.1188,                 2.1629,                      0,                      0,                      0,                      0,                 2.2047,                  4.863,                 1.3251,             0.00019386,             0.00019386,             0.00019386
                      5,                 2.1282,                 3.6447,                 1.4851,                0.00333,                      1,                0.00663,                0.00398,                 1.6834,                 4.6479,                 1.1028,             0.00023565,             0.00023565,             0.00023565
                      6,                 2.3052,                 2.8849,                 1.5047,                0.00333,                      1,                0.00663,                0.00531,                 1.1629,                 4.8897,                0.96443,             0.00027268,             0.00027268,             0.00027268
                      7,                 2.2894,                 2.1856,                 1.4595,                0.00333,                      1,                0.00655,                0.00524,                0.92022,                 4.2655,                0.92881,             0.00030496,             0.00030496,             0.00030496
                      8,                 2.1103,                 2.2882,                 1.3222,                0.00333,                      1,                 0.0065,                 0.0052,                0.92231,                 4.2391,                0.92128,             0.00033249,             0.00033249,             0.00033249
                      9,                 2.2555,                 2.8675,                 2.0227,                0.00333,                      1,                0.00721,                0.00577,                 1.0815,                 4.2537,                0.94716,             0.00035526,             0.00035526,             0.00035526
                     10,                 1.2769,                 4.3367,                0.85628,                0.00333,                      1,                0.00682,                0.00545,                 1.1239,                 4.2653,                0.96949,             0.00037329,             0.00037329,             0.00037329
                     11,                 1.6863,                 1.7171,                 1.2745,                0.00333,                      1,                0.00691,                0.00553,                0.90799,                 4.2623,                0.96537,             0.00038656,             0.00038656,             0.00038656
                     12,                 2.3816,                 5.3562,                 1.4283,                0.00333,                      1,                0.00754,                0.00603,                0.92698,                 4.1714,                0.94098,             0.00039508,             0.00039508,             0.00039508
                     13,                 1.9858,                 1.4769,                 1.2961,                0.00333,                      1,                  0.995,                  0.796,                0.99603,                 4.1532,                0.99887,             0.00039885,             0.00039885,             0.00039885
                     14,                 2.2071,                 2.1054,                 1.7785,                0.00333,                      1,                  0.995,                 0.6965,                0.93258,                  4.154,                 1.0242,             0.00039786,             0.00039786,             0.00039786
                     15,                 2.0299,                 1.6568,                 1.3675,                0.00333,                      1,                 0.0995,                0.06965,                0.92557,                 4.2909,                 1.0287,             0.00039213,             0.00039213,             0.00039213
                     16,                 1.6962,                 2.2116,                 1.3223,                0.00333,                      1,                0.00721,                0.00505,                0.81826,                 4.2713,                 1.0441,             0.00038164,             0.00038164,             0.00038164
                     17,                   1.39,                 2.2092,                 1.2621,                0.00333,                      1,                0.00873,                0.00698,                0.72897,                 4.0816,                 1.0098,              0.0003664,              0.0003664,              0.0003664
                     18,                 1.7627,                 1.8507,                 1.4558,                0.00333,                      1,                0.07107,                0.06396,                0.76317,                 4.2475,                0.98626,             0.00034641,             0.00034641,             0.00034641
                     19,                  2.069,                 2.5116,                 1.3379,                0.00333,                      1,                 0.4975,                0.44775,                0.71097,                 4.3951,                0.97926,             0.00032166,             0.00032166,             0.00032166
                     20,                 1.5421,                  1.854,                 1.3621,                0.00333,                      1,                  0.995,                 0.8955,                   0.65,                 4.2459,                0.97317,             0.00029217,             0.00029217,             0.00029217
                     21,                  1.434,                 2.0433,                 1.2448,                0.00333,                      1,                  0.995,                 0.8955,                0.74814,                 4.0558,                0.98605,             0.00025792,             0.00025792,             0.00025792
                     22,                 1.6887,                 1.5079,                 1.2066,                0.00333,                      1,                  0.995,                  0.796,                0.77404,                 3.9431,                0.99078,             0.00021892,             0.00021892,             0.00021892
                     23,                 1.2512,                 1.5365,                 1.1928,                0.00333,                      1,                  0.995,                  0.796,                0.88561,                  3.762,                0.97725,             0.00017517,             0.00017517,             0.00017517
                     24,                 1.5975,                 1.5886,                 1.3985,                0.00333,                      1,                  0.995,                  0.796,                0.88611,                 3.6384,                0.98118,             0.00012666,             0.00012666,             0.00012666
                     25,                 1.3315,                 1.5037,                 1.2265,                0.00333,                      1,                  0.995,                 0.8955,                0.84519,                 3.6228,                0.97917,             7.3408e-05,             7.3408e-05,             7.3408e-05
